Ranking,Usuario,Wallet,Volumen,Ganancia_PNL,Verificado
1,swisstony,0x204f72f35326db932158cba6adff0b9a1da95e14,1714119186.8681562,22026458.034804404,False
10,endlessFate,0x5e4c3b5b81171e2ca4ab776ac0d6bba787f9dba2,26282164.742855996,7409836.65260974,False
11,BreakTheBank,0xf0318c32136c2db7fec88b84869aee6a1106c80c,193781922.70089698,6990344.160490695,False
12,KeyTransporter,0x94f199fb7789f1aef7fff6b758d6b375100f4c7a,20086062.154324993,5711459.802519929,False
13,0x2c335066FE58fe9237c3d3Dc7b275C2a034a0563-1759935795465,0x2c335066fe58fe9237c3d3dc7b275c2a034a0563,770305295.4803451,5105022.189838171,False
14,gmanas,0xe90bec87d9ef430f27f9dcfe72c34b76967d5da2,488321502.25160706,4745631.825705533,False
15,0x006cc834Cc092684F1B56626E23BEdB3835c16ea-1729683673397,0x006cc834cc092684f1b56626e23bedb3835c16ea,62968832.310575984,4691596.673260244,False
16,beachboy4,0xc2e7800b5af46e6093872b177b7a5e7f0563be51,227142544.78180698,4560719.575139216,False
17,432614799197,0xdc876e6873772d38716fda7f2452a78d426d7ab6,185485956.86208293,4526176.046413315,False
18,Allezpapa,0xe549581668a5751c1972d3ad2d1991d900bd2d54,54987532.64997201,4280722.833949988,False
19,Inaccuratestake,0xf8831548531d56ad6a4331493243c447a827cd1f,27914852.79396898,3987824.9854860003,False
2,kch123,0x6a72f61820b26b1fe4d956e17b6dc2a1ea3033ee,292671303.83799493,11485086.118918844,False
20,DrPufferfish,0xdb27bf2ac5d428a9c63dbc914611036855a6c56e,247689179.34368992,3911445.277009555,False
21,reachingthesky,0xefbc5fec8d7b0acdc8911bdd9a98d6964308f9a2,13750266.834776003,3742635.156562068,False
22,majorexploiter,0x019782cab5d844f02bafb71f512758be78579f3c,9413714.671942003,3668541.581104434,False
23,SeriouslySirius,0x16b29c50f2439faf627209b2ac0c7bbddaa8a881,192646024.935228,3648171.8070388837,False
24,sovereign2013,0xee613b3fc183ee44f9da9c05f53e2da107e3debf,398917415.29540294,3583998.1493746224,False
25,GamblingIsAllYouNeed,0x507e52ef684ca2dd91f90a9d26d149dd3288beae,381011754.942068,3573052.7809477444,False
26,asparagus2012,0x476e1322d1a412fa0325527b8c3bc5e707b1396d,8005463.485680998,3562639.554169,False
27,gmpm,0x14964aefa2cd7caff7878b3820a690a03c5aa429,85047355.83921698,3549767.3799488186,False
28,Sin nombre,0x076daa87c4fe1a85402a9b6b8e0a866224388d4c,66368857.24080599,3302707.53104414,False
29,gfjoigfsjoigsjoi,0x36a3f17401e395ef4cb1b7f42bcdb8ab8e15fafb,22628416.902675003,2930573.327551775,False
3,RN1,0x2005d16a84ceefa912d4e380cd32e7ff827875ea,862035786.8191001,10820452.417863108,False
30,ndb1,0xfea31bc088000ff909be1dfd8d0e3f2c7ef2d227,95668876.91782697,2861978.8542271582,False
31,BAREFLUX,0xd6505aab3c6bef32ae6c96dbd8023d7c4df114fb,35424937.797886014,2815019.1047309996,False
32,LaBradfordSmith22,0x9495425feeb0c250accb89275c97587011b19a27,116293157.41413103,2791255.258564499,False
33,primm,0xd38b71f3e8ed1af71983e5c309eac3dfa9b35029,32596078.598206997,2673262.1587221515,False
34,0x5966Db1fE50763C9e3C014d756369BAd07E1F804-1777648534241,0x5966db1fe50763c9e3c014d756369bad07e1f804,23439735.967072003,2665879.076827984,False
35,weflyhigh,0x03e8a544e97eeff5753bc1e90d46e5ef22af1697,137124008.94362497,2614617.3911160077,False
36,tazcot,0x343d4466dc323b850e5249394894c7381d91456e,8132604.965826999,2604547.667341,False
37,0x2a2C53bD278c04DA9962Fcf96490E17F3DfB9Bc1-1772479215461,0x2a2c53bd278c04da9962fcf96490e17f3dfb9bc1,443471276.81480134,2475001.742442659,False
38,jtwyslljy,0x9cb990f1862568a63d8601efeebe0304225c32f2,76023690.96482003,2413643.1319091776,False
39,Sin nombre,0xb786b8b6335e77dfad19928313e97753039cb18d,97888100.72348101,2351222.740610944,False
4,mintblade,0x96cfcb0c30942cfcd1cdf76c7d408794d66b1acb,17759922.232853003,9238344.623224001,False
40,blackwall,0xac44cb78be973ec7d91b69678c4bdfa7009afbd7,14869434.037083017,2310857.9291402893,False
41,CandleHammerDrums,0x7c1ee865a785de4c00ee90ed86a38489fb8bbab3,41638210.889001,2303071.574477182,False
42,0x7fB7Ad0d194D7123e711e7db6C9D418fAc14E33d-1750343282446,0x7fb7ad0d194d7123e711e7db6c9d418fac14e33d,120653550.22352706,2282135.2612177623,False
43,muchobliged,0x095fbca2e0eaf0c9841005135427e1e0117190b2,31098832.840419002,2156299.3590370473,False
44,cnyek,0x65018f9fc473f6e920b8929a375d39c26a461220,12155094.093244998,2155061.945225021,False
45,hot2trot,0xb61b2079b95f6b7476fd3203e0274ffb93308a06,13650894.241732003,2145025.7986243977,False
46,ilovecircle,0xa9878e59934ab507f9039bcb917c1bae0451141d,43079209.504393,2129927.339376962,False
47,weatherman12,0xd1c537b2a7cba8d365e111bffb9de7b205e2cbd0,45849598.486814015,2098431.074333729,False
48,FeatherLeather,0xd25c72ac0928385610611c8148803dc717334d20,5237151.235279998,2097480.476399747,False
49,geniusMC,0x0b9cae2b0dfe7a71c413e0604eaac1c352f87e44,94254819.44782221,2091209.1778389406,False
5,fishalive,0xed64a7bf029040aa331abc87902434d815ef217d,13281460.374667995,9063378.176199999,False
50,S-Works,0xee00ba338c59557141789b127927a55f5cc5cea1,165099101.94969,2021906.4426910162,False
6,frostrizz,0xbc11a64ab34a03a043fbe80598fa065ee87eeec6,23091318.15574806,8928561.11799,False
7,sparklingwater123,0x664ce9fb97ae1bbd538d7381b2f4e92dab16f49c,19001698.927902,8474966.272470918,False
8,DEEDDIT,0x09b428f7c2b469786286214aa5c90dd9015f7320,72132442.51951,8052184.542897382,False
9,GRIMDRIP,0x3f87d51f27ba6e19ec52aaeebb68559a839c742c,13603969.275332002,7602742.057861,False
