Ranking,Usuario,Wallet,Mercado,Lado,Cantidad,Precio_Entrada,Precio_Actual,Valor_Inicial_USD,Valor_Actual_USD,PNL_USD,PNL_Porcentaje,Condition_ID,Token_ID,Slug
1,swisstony,0x204f72f35326db932158cba6adff0b9a1da95e14,Spread: Málaga CF (-2.5),Club Atlético de Madrid,7590.0705,0.9899,0.989,7514.0559,7506.5797,-7.4762,-0.0994,0xddc9722bf9409b02dab4dd7b914f3f22daf4e7a1135550846e65aa3481facba5,95539246760516819234385586863992328355187825701044056828919619157557466415508,lal-mad-mala-2026-08-19-spread-away-2pt5
1,swisstony,0x204f72f35326db932158cba6adff0b9a1da95e14,Tōkyō Verdy vs. Kawasaki Frontale: O/U 1.5,Under,9914.8597,0.4593,0.625,4554.6981,6196.7873,1642.0891,36.0526,0x55fbd435052cac43334b22c1d0a8018004b6e7309191d4c54a78703d1deea3b1,35571021038786038039875859881122529953259857754913761758089040497464073994199,jap-fct1-kaw-2026-08-09-total-1pt5
1,swisstony,0x204f72f35326db932158cba6adff0b9a1da95e14,Tōkyō Verdy vs. Kawasaki Frontale: O/U 2.5,Under,6641.3461,0.6568,0.855,4362.3017,5678.3509,1316.0491,30.1686,0x048b9d4cbfad64b60491cc9f055dcade66deb3b9cbaeaf86f1616ef53a7f0a94,21381416901602492067210346695787765224449020353775473634451046561341058881663,jap-fct1-kaw-2026-08-09-total-2pt5
1,swisstony,0x204f72f35326db932158cba6adff0b9a1da95e14,Will Kawasaki Frontale win on 2026-08-09?,No,8960.1755,0.583,0.625,5224.4543,5600.1096,375.6552,7.1903,0x339e5dbddb53c79e817075d5830610b899b91e6c129fad222f14cd9b29585632,55503797713924385855910971955721288958942877222610866254345100627726943282456,jap-fct1-kaw-2026-08-09-kaw
1,swisstony,0x204f72f35326db932158cba6adff0b9a1da95e14,Will PFK CSKA Moskva vs. FK Rostov end in a draw?,Yes,3496.6449,0.2521,0.9995,881.6265,3494.8966,2613.27,296.4146,0x4592e628126014d68dc7516497778db5c2562fb0ed74e2edddf34433a56cbde0,18062503966217221034808022822838401376640475507119406724610287534331176861354,rus-csk-ros-2026-08-08-draw
1,swisstony,0x204f72f35326db932158cba6adff0b9a1da95e14,Will FK Dinamo Moskva win on 2026-08-09?,Yes,5659.9506,0.5883,0.615,3330.1678,3480.8696,150.7017,4.5253,0x268ae1f6de6d7706f371ad6e303645da9afb433594496fc5b734d4305bb0daf6,26447057851754950537050724924151115049865124817458855331861141707603279262786,rus-din-mak-2026-08-09-din
1,swisstony,0x204f72f35326db932158cba6adff0b9a1da95e14,Exact Score: Chicago Fire FC 0 - 2 Vancouver Whitecaps FC?,No,3761.8945,0.95,0.895,3573.7997,3366.8955,-206.9042,-5.7894,0xdee53c872dfc5f633345aa8e953958961e3d2daf3aabed82a715f8a42ee33875,44892159935390604662345749539919895096711783326777111353814267740858768042973,mls-chi-vwh-2026-07-16-exact-score-0-2
1,swisstony,0x204f72f35326db932158cba6adff0b9a1da95e14,Will RC Deportivo A Coruña win on 2026-08-17?,No,4779.9666,0.5999,0.61,2867.9752,2915.7796,47.8043,1.6668,0xd702d3b8523d0a3b23e5f4f4c0e98673923cf53181382ea190b721a0861e22a0,97301259692127929674053354309957405056363313395300878367554922576285259386401,lal-dep-elc-2026-08-17-dep
1,swisstony,0x204f72f35326db932158cba6adff0b9a1da95e14,Will Qingdao Xihaian FC win on 2026-08-09?,No,3411.6381,0.8325,0.845,2840.4787,2882.8342,42.3554,1.4911,0xbd8071343ff27ce30f8ce493712bc5cd745e1295d3e2cb5eb266b4e8da90e361,19343052276234426854887408982070084914302905170707928932185562339853978577681,chi-hen-qin-2026-08-09-qin
1,swisstony,0x204f72f35326db932158cba6adff0b9a1da95e14,National Bank Open: Learner Tien vs Thiago Agustin Tirante,Learner Tien,4151.905,0.68,0.685,2823.2954,2844.0549,20.7595,0.7352,0x8195a99c93660e18bc49209359cf9cb539af42cfa00cb5000f6f5aeecef8dc57,29608333564826224550829904833657826742020312575817997760162018159929350012361,atp-tien-tirante-2026-08-10
